Ingredient,PricePerServing,RawPrice
Apple,0.91,6.83
Banana,1.5,2.65
Orange,1.26,6.37
Strawberry,1.05,2.09
Blueberry,0.67,3.11
Raspberry,0.66,4.14
Grapes,0.9,5.81
Mango,0.71,7.75
Pineapple,1.4,2.98
Peach,0.95,3.15
Pear,1.4,4.85
Plum,0.86,3.37
Cherry,1.12,7.49
Watermelon,1.67,1.66
Cantaloupe,1.1,7.28
Kiwi,1.1,6.49
Lemon,0.62,2.24
Lime,0.76,3.95
Papaya,1.94,4.49
Avocado,1.57,3.54
Blackberry,1.64,6.19
Cranberry,0.59,2.53
Pomegranate,1.01,5.68
Guava,1.25,2.47
Passion Fruit,1.41,6.28
Dragon Fruit,0.7,5.4
Lychee,1.26,2.12
Fig,1.29,6.22
Carrot,0.69,3.45
Broccoli,0.39,3.9
Spinach,1.3,5.86
Tomato,1.09,3.89
Bell Pepper,1.12,4.97
Cucumber,1.25,4.63
Onion,1.42,1.44
Garlic,1.26,1.94
Zucchini,1.09,1.11
Eggplant,1.44,3.76
Cauliflower,0.64,5.77
Green Beans,0.63,5.98
Peas,1.09,5.69
Corn,0.63,4.23
Mushrooms,0.33,3.04
Potato,0.37,4.54
Sweet Potato,0.52,4.04
Lettuce,0.48,1.99
Kale,1.49,3.14
Cabbage,1.44,4.69
Asparagus,0.63,4.52
Brussels Sprouts,1.27,5.98
Radish,0.87,3.88
Beet,0.45,2.27
Celery,0.92,2.69
Leek,0.64,1.53
Artichoke,0.61,3.21
Butternut Squash,1.43,2.75
Acorn Squash,0.85,3.98
Turnip,0.88,5.16
Milk,1.14,4.05
Cheddar Cheese,1.12,6.13
Mozzarella,1.27,3.9
Yogurt,0.63,5.26
Butter,1.39,2.52
Cream,1.08,2.26
Parmesan,0.85,5.68
Swiss Cheese,0.65,6.36
Blue Cheese,1.47,2.35
Feta,0.53,6.66
Cottage Cheese,0.82,2.24
Sour Cream,0.94,4.67
Ricotta,1.36,2.5
Gouda,1.0,6.23
Brie,0.74,3.62
Provolone,1.49,4.07
Cream Cheese,1.18,4.46
Eggs,0.98,2.96
Heavy Cream,1.22,2.61
Buttermilk,1.39,5.22
Goat Cheese,1.14,2.34
Skim Milk,0.81,7.59
Chicken Breast,4.07,14.33
Chicken Thighs,4.13,17.91
Ground Chicken,2.3,10.68
Beef Steak,2.44,15.94
Ground Beef,4.22,19.44
Beef Roast,2.56,12.63
Pork Chop,2.64,9.19
Ground Pork,2.55,12.5
Pork Roast,2.49,12.31
Lamb Chops,3.51,14.49
Lamb Roast,3.72,13.76
Turkey Breast,4.36,8.51
Turkey Legs,3.76,17.98
Ground Turkey,2.13,18.43
Bacon,4.61,13.58
